Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,10613.9115418862,10630.4536535068,10661.173537835,10644.5810685804,10282.4565949728,10619.6136467331,10500.3858391248,10199.0601502139,10352.8227618312,10442.7264995652,10000.3110739949,9711.11271653165,9779.88348722076
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Australia,AUS,35827.0967196418,35240.582540066,34967.5177240199,36033.6358843432,37098.7987775714,38078.9039470847,39065.9243827866,40156.3352495743,41504.4958976453,43087.4467189905,44223.5912367361,44473.4086078834,45626.6220312732,46449.8451866154,47817.8992322005,48702.734693348,49418.6863195941,50952.467037889,51788.440148049,51651.2232575577,51874.0804819957,52372.1545375312,53315.0299153974,53732.0039694765,54293.7942049523
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,37071.735304991,37162.5405979061,37838.3205639022,36904.4750646566,37043.1816690002,37703.791734616,37833.3647703949,36400.0373869634,35382.1426546445,35672.339906887,35923.4018274107,36162.9779292315,36832.2662281767,37202.3579409858,36752.047316298,36325.1207263069,37401.0531640605,36997.8072614836,35860.3887804149,34812.7146878375,35268.1011703581,36092.0969837904,35899.0373689733,34618.9729115639,33313.8327791027
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cambodia,KHM,..,..,..,316.102167851993,333.261420389794,343.472632630495,351.28946607131,360.664591012124,368.873030659768,402.873638154483,428.505905632537,454.076447853592,475.053727303848,506.702794628115,550.099939729713,613.279009897521,669.036330899425,726.460579564039,763.691392323119,752.977918475029,785.692884137826,827.978408117913,874.161488657185,923.726340773738,972.979244799072
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,730.772489044822,787.867435156269,888.911004119008,1000.61180975351,1118.49957748173,1227.55640691521,1335.36268011202,1443.77474185404,1542.06412996664,1645.98799567879,1771.74150579539,1905.61078010947,2065.71857925612,2258.91210541049,2472.58655569402,2738.2054599526,3069.30478095137,3487.84576561013,3805.02599866378,4142.03828597868,4560.51258600929,4971.544928635,5336.06014319861,5721.69381888796,6108.23877494863
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Fiji,FJI,2926.35162098871,2820.84003366271,2956.49941185905,2977.50254445115,3085.86438143906,3122.91340774269,3235.35729998179,3130.72019088012,3141.87758042866,3392.17276350373,3315.06747465363,3368.93086045079,3470.4582668619,3501.14096814111,3678.9257844854,3689.06738165446,3732.00347538386,3667.45254127608,3667.86084312716,3580.397018652,3651.96678405546,3719.88948038608,3744.27711582925,3894.26254251599,4084.1998022602
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,27723.6367750652,27883.240173408,29604.1479791411,30592.1607999249,29375.276247165,29576.8960380147,30054.2028456599,30111.6816042731,30700.4340081784,30693.1274789777,31257.1569439436,31754.1078606134,32129.515000324
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Hong Kong SAR, China",HKG,18250.961853647,19132.3077665695,20155.241830864,21040.534041779,21813.7198883851,21893.6855998259,21835.034100535,22758.29457067,21241.4397679412,21566.936220108,23015.9058780068,22975.0421342543,23252.475293107,24010.507190176,25896.6828387664,27688.7395310834,29446.2629728128,31081.5731918616,31553.6365256147,30711.4946896443,32549.998231121,33888.4863410673,34086.3078526145,35002.5302641216,35717.6892534615
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Indonesia,IDN,1707.59791770347,1794.18879877437,1878.709860248,1968.12413641282,2083.06368170835,2219.81105813614,2357.95935142443,2433.34050760854,2084.23454844949,2071.55062971407,2143.38989039205,2190.76617979471,2257.74685507094,2333.09748333113,2416.83638933237,2519.5098415279,2621.96039791854,2750.61514270465,2876.88504026904,2970.04413106579,3113.48063451433,3262.7486126075,3415.35126676747,3560.10658042829,3692.94287536983
