Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,10380.307825656,10509.9922411754,10457.7140897922,10772.0218720648,11205.8221937841,10440.7068934545,10834.6287714332,11117.0947807136,11335.1285555574,11470.9864981247,11981.9162572389,11191.1024034415,11147.2633922514,11683.4623449575,12218.7446732722,12857.1641591771,14325.4809859587,15466.9527742436,15278.8740470609,13270.6971014231,12174.6978594572,11789.7990769713,12069.8113772725,11928.2184658505,12403.5282209861
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Argentina,ARG,5939.75691560173,6598.72263482743,7285.42942771472,7612.68115329614,7952.71155173317,7630.02227409899,7955.12765176278,8500.94036184635,8728.94765116614,8339.89438868086,8182.68650230868,7735.49336439011,6816.73485537778,7337.79203783303,7913.74312362482,8522.52273238782,9112.11316338653,9830.68091982204,10125.1262721185,9428.50254117176,10276.2604977053,10780.0156577357,10557.8853892544,10699.1977159711,10323.20693976
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24271.9404205267,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,23248.8936715994,21868.8772986471,20635.6985113897,20315.1782744707,20595.6313807486,21170.9531347603,21782.0991621408,21984.9465790558,22776.6096750456,24111.8577544435,24748.3079735458,24958.6549679116,25134.3811263706,24298.6237850202,23997.8477712196,24305.990666923,24429.4457482206,24312.400634406,23314.994167221,21951.1466446952,21921.5590634977,21710.5899917159,22050.2021461459,21622.8655854331,21078.6804680605
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Barbados,BRB,13830.0119081306,13244.8079643431,12446.54903487,12502.9648451095,12708.2942696018,12919.2229038363,13381.9875046244,13963.6496912725,14431.6216806745,14426.3179057437,15017.0768031104,14616.1817065074,14688.7813590316,14964.7160473718,15128.9458608363,15676.1091888706,16502.6900650941,16726.2798684695,16721.73309543,15979.6809292206,15959.0297922874,15972.7676372964,15961.701817585,15910.9348648734,15864.6197950218
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belize,BLZ,2849.03459347252,3089.23044045696,3404.20680748937,3557.4772563526,3491.40076155601,3424.08611479284,3363.89631145811,3358.51052496872,3352.85453866553,3513.85527628729,3838.89248817263,3910.1872567279,3997.12068452635,4257.48738791646,4343.17724006303,4342.12889141106,4424.43737866722,4358.46900107434,4385.17593228253,4307.22111778001,4344.15017661252,4333.36177568641,4398.76441758112,4359.71418881586,4415.98709389403
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bolivia,BOL,1358.24108435809,1401.90835201166,1397.1799330787,1428.36572409464,1465.80404330815,1504.39678385825,1539.34488523904,1584.11720415994,1631.57491819291,1607.21008087073,1616.53917776886,1613.41081598593,1623.51879364219,1637.80850362229,1676.22795997223,1720.09901866727,1771.94687725178,1821.79549543765,1901.89980193506,1933.74010151189,1981.16070450437,2051.152291621,2122.38456393316,2231.47724076427,2317.25718610303
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,7986.04587296904,7966.79646758777,7796.84183089866,8027.18938430715,8319.20902382918,8547.94115970694,8598.01495879817,8750.27405767678,8644.4208430246,8554.83443909603,8778.18814081675,8776.86371936394,8924.33352798132,8910.85562414267,9309.00819513988,9495.10493913007,9761.87640157734,10245.23081298,10658.2253077189,10540.1087666864,11224.1540829355,11559.2122714428,11671.1829427136,11912.1467557492,11866.3889224247
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
