Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Albania,ALB,1947.8835449081,1379.8169783237,1288.25896491087,1420.57328795871,1547.95435292012,1764.69929632752,1937.29007198088,1738.16646043428,1906.71726144227,2177.89663307357,2337.94238637131,2547.37731608619,2663.14047692587,2827.45577750698,3001.40861793159,3189.39511117692,3383.89372561197,3610.72755370642,3775.38098775973,3928.33863824236,4094.35883191918,4210.08219850607,4276.92155019231,4327.64451802716,4413.56158290959
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Andorra,AND,35780.5196725988,35291.7114092924,34278.6471002551,32766.0596707401,32633.8251274783,32917.6488213571,34175.2600684125,37293.2824132908,38595.7232096964,40035.4824490851,40801.5421300322,41420.8461776969,42396.3023980284,45519.4923839434,47032.8668884706,48831.9293599384,49708.4004893013,48710.6646202996,43900.9517028654,41979.8659013974,39736.3540626699,38205.7710887919,38190.5865853723,39104.301849019,40785.0492283396
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Armenia,ARM,1796.93643165951,1601.59382254967,949.033221278773,886.032785925221,956.470885506279,1043.54314093392,1121.88162869349,1172.1368024271,1267.57528264648,1317.74192343814,1404.32146204631,1548.0758512453,1761.88827204793,2019.98486736483,2244.22017070239,2571.98575552046,2933.83347842552,3366.16218732912,3629.15770214106,3136.81172720558,3218.38165488465,3371.6728305502,3606.48055353557,3710.5757426146,3827.34319548141
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Austria,AUT,33932.3911441928,34751.5143445284,35090.7212116008,34985.8862482266,35688.6693159936,36584.7806788387,37411.6514385095,38193.2818499291,39509.5730398158,40848.4085441634,42122.9360005981,42528.7014138777,43020.7398882342,43135.4042363727,44028.529561821,44665.7089068331,45934.5351997659,47444.0215135592,48027.5240737498,46082.0507456377,46858.0432733717,48065.3167058917,48172.2377048248,47903.8962534401,47949.1635547631
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,3118.54658676172,3049.01599483444,2324.4529766324,1760.55465085842,1394.74420894615,1216.07791710291,1219.50934895182,1277.85412406008,1392.36119355104,1482.32977280697,1633.3944354131,1781.24639507096,1955.41315045621,2158.00717069154,2357.39602637373,2949.44281843844,3923.65815354896,4851.17690871859,5262.10135550006,5639.001689405,5842.80578358576,5770.96970270605,5820.0798474712,6078.32064851423,6122.98048925179
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belarus,BLR,3102.46277600103,3063.72977300968,2763.64739826199,2547.87398790412,2252.41253505173,2024.69482093138,2088.35154492373,2336.31155380518,2544.63471695903,2642.24242039819,2808.69399564789,2956.5406182076,3125.5389116145,3369.17210775321,3780.63623184238,4164.36194901709,4608.93224089946,5028.31988296768,5560.38190408405,5583.93852426094,6029.3967998293,6375.34503859546,6491.67338247292,6557.10657206217,6664.09724918665
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belgium,BEL,33105.1552433006,33586.9583104952,33962.9863856718,33505.1655027068,34479.937551965,35228.3419165189,35719.8102344149,36955.6361964793,37605.2280552923,38856.0634985051,40170.4189271218,40357.370757271,40892.2177249607,41036.7982641216,42344.6948333994,42994.3636536563,43782.1395544946,44960.7978629635,44956.3673344759,43591.2718827821,44380.1766327308,44556.0368071799,44337.5767700468,44209.7433543915,44702.3168947694
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,698.56429427465,866.940672136616,1665.5953656484,2255.05736934854,2608.19884143362,2852.02104121862,3002.82084105655,3131.1394017013,3293.14024872433,3421.74843067042,3628.51643997036,3946.05667880525,4160.56310253483,4405.28505871939,4664.09180327094,4545.22766596344,4614.8290411405,4700.88783699632,4714.11540571216,4882.75700586414,4992.90537999347
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,4162.8159827076,3849.18655875106,3607.7939153346,3582.85635557714,3660.40222148562,3781.90374487118,3862.28186922653,3843.12252499241,4004.26340929735,3800.87414209981,4011.0958404745,4265.56026222469,4621.50486846638,4894.7818856957,5255.17917906694,5678.04794405951,6107.7068038195,6625.02873255093,6914.39889715097,6709.52776334086,6843.26328885315,7019.17801535239,7062.13711726262,7162.99482436387,7299.55244471069
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
