Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,364.570572951991,376.758714204473,364.095436021804,389.416357791097,397.985904741902,440.368155343632,444.950137932355,524.823533211573,553.300289383064,569.233387721432,630.427412567377,633.658411261349,630.320014024333
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,399.483940851139,403.753798979427,416.18052405083,426.309441333235,433.412344067767,445.918917287425,456.237710100466,466.77254422232,480.868833099348,493.255219870374,509.293434722413,525.072110746691,535.246723365611,550.862805736311,570.336735954774,598.617425921471,630.04818002342,666.401447207163,698.564892037526,725.766259956842,757.671757176894,797.411680369498,839.513687185166,879.581966135063,922.161127998654
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bhutan,BTN,789.217334156516,785.992453720061,831.063050334133,861.193921466685,915.409903076161,983.262475903491,1029.17766319167,1065.05676572225,1100.1615195901,1155.20975777048,1201.10578545411,1263.96776707338,1360.79225208936,1425.05517363399,1469.37315038902,1534.82074531128,1601.91580165284,1848.56625507606,1898.05279389076,1986.13561776648,2178.92138307967,2310.00365501278,2387.00567386534,2399.91891590403,2500.26014526865
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,536.162785952242,530.894738000648,548.895783827753,563.74968766069,589.70878759027,622.303683083803,656.697143961351,670.610121594673,699.068854717743,747.25203565058,762.313340805066,785.344628061161,801.507932685532,850.293264901655,902.905794350756,971.229760739138,1044.8939404376,1130.09007066353,1156.93252713628,1237.33978594471,1345.77015320886,1416.40339128641,1474.96767422151,1550.14222964261,1646.78125204195
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,5478.84951035133,5630.84118347755,6282.23185165147,6485.02418703846,5484.95026873187,6736.81326020206,7068.65176869253,7537.63684369554,6806.405054638,7100.40590931813,7490.44522257096,7458.86005663585,7776.54394534255,8124.70776372563
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nepal,NPL,357.206430753777,370.16832666689,375.064814336827,379.011950668387,399.420624239488,403.051716748018,414.70096924618,426.173279600337,430.067664968378,440.38040098011,459.116340001891,472.771792537944,465.545286263863,476.458187731619,491.697513786102,502.239427924995,513.127461584289,525.082252599931,551.644103247376,570.930789331057,592.183521642014,605.633652559472,627.182122122641,645.251010461788,675.73528850746
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Pakistan,PAK,741.801449833254,757.868863261143,794.620985629389,787.794111672404,796.630568686476,815.335937946488,833.747102628096,821.661818033268,822.443036749796,832.69779224729,848.631783053007,846.642373050929,855.498549835948,878.441519662912,923.923303987001,974.53729826756,1013.76537218231,1041.28938271582,1037.5751370942,1045.20792881873,1040.14226787636,1046.4935453695,1060.50137037536,1083.96700718836,1111.19596166823
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Sri Lanka,LKA,1189.39329197945,1229.21537792495,1268.76076272564,1342.08837520454,1403.94973896014,1469.09186436749,1514.54174610146,1602.44954994811,1669.22942636196,1731.83868715352,1824.72107196506,1784.06717848421,1840.56738996089,1934.07100159274,2022.8303590988,2132.35731896521,2278.8792898081,2416.49326551167,2542.94242393218,2615.98269510413,2808.43418467515,3026.99207009395,3286.00772190599,3371.1827158038,3506.73182782567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
