Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Angola,AGO,2630.62357296297,2519.96606028,2271.02950042539,1654.53708916369,1658.31009384044,1775.89946124641,1919.2117663338,2015.01392153344,2094.47852756743,2101.94533402433,2100.57238329504,2119.32593151743,1906.08657987112,1936.59966053262,2071.90526529851,2364.194266479,2754.41363654165,3258.47527880092,3578.8728059932,3536.79829568814,3529.05348173757,3538.71568511348,3591.02743812173,3702.59918011167,3747.56835973634
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Benin,BEN,609.345623847634,614.005294113839,610.55090183852,623.953655204789,615.120445612328,631.171223502581,638.076330738046,654.542811574812,660.631781368267,675.677481564767,694.243748862815,709.469362156737,720.168276979008,722.667195343064,732.335422521139,723.199959377189,730.275255572894,752.215214660521,767.057378825483,763.105014071657,757.695907409377,758.5775214493,773.137026245662,805.944940706023,833.662487448943
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Botswana,BWA,3860.00860322439,4034.26086362632,4040.42667322748,4010.787151804,4053.43604219396,4237.56729946312,4386.85153681613,4641.80547984061,4585.73992768727,4939.59805552704,4954.77428993194,4891.91484358506,5115.89988635339,5280.21517473814,5349.00202419483,5512.81122938706,5883.89905903791,6270.47407967408,6552.77664070476,5948.85324807045,6346.15620387349,6610.33192206911,6779.39389716646,7409.42115519618,7574.28209730669
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,341.352617189917,362.478919951271,353.668786014067,356.128863354102,351.104458678869,361.121421967347,389.965445880456,403.216943616745,420.723454429533,439.299726397477,434.763330444212,450.452280722016,456.73413491079,478.304352301957,485.307404342803,511.967590461138,527.962349488741,541.268695046728,563.447065061273,562.841935400742,575.446452687734,595.393248086405,615.097084338391,631.612184358054,639.709550663991
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burundi,BDI,329.157780967159,337.708351238027,333.94321893393,307.123481022235,290.319817820472,263.270850380452,239.039632650715,232.506872313885,240.62759815185,234.684850023308,228.247568715153,227.428111030652,230.996154204304,221.22748245559,224.515553169343,219.186550201302,223.40359025878,226.304441502933,229.834701437855,230.053170925045,231.194325649216,233.518126039129,235.705287861241,239.331065435125,243.101911790451
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,941.801424719417,933.053236662559,1008.71436357064,1067.06634482609,1237.7397557779,1377.41960845303,1496.60967389523,1624.70296620307,1787.99912072727,1946.85139734536,2179.98480656933,2185.25382237384,2257.31667202373,2310.49441972563,2505.17250509891,2639.38263767138,2813.18540374689,3202.37926444633,3378.64619666373,3300.55098620992,3312.82598480901,3405.78186030337,3403.03108151333,3389.94000420288,3369.64270865533
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1349.632653668,1261.03935686258,1187.65853246657,1063.46149763457,1056.98901028157,1065.11952581218,1083.28482197049,1111.5513801131,1132.95202570218,1152.35454824197,1163.43141018675,1183.43807008281,1201.91208256337,1224.16102584814,1272.85120374741,1264.15439961956,1272.88267360431,1299.29092844776,1308.23549853739,1300.84144032267,1309.12220801948,1326.64601488757,1349.95171308948,1385.23543669028,1428.21567329132
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,468.690673479274,454.529078344446,414.176125115426,404.406949132499,412.999641512695,431.49867085294,404.224952083894,415.787311600684,425.639680128887,431.472541135017,411.938174343603,421.659198766398,428.477228632513,397.811326877402,414.030230976219,410.414836096583,422.438682235064,434.250472500069,436.073715935685,437.601383559457,446.443449375206,458.332773274876,475.667387467109,300.479581663976,302.546369203575
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chad,TCD,517.134639876824,543.638835795692,568.734343155584,464.285496348839,494.999868096875,484.758087671732,479.042125106108,489.095261494704,505.162085342138,484.082558710106,462.5285997774,497.346803391642,519.27665039581,573.3343743503,737.987527422334,835.195541663453,812.008600306535,811.016281875588,808.889003870998,815.968047215377,896.569734113861,867.999063167632,914.118651095515,934.702545964812,967.102777311795
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Comoros,COM,871.249029467176,800.364752208952,843.613796782855,844.164635433196,777.128893757449,782.967729796268,751.923934702502,761.462178038835,751.129339025684,746.092406923024,806.429473279958,805.155528574441,804.211318375777,801.798755795278,798.010571542992,801.333459920949,803.113047984265,790.367476900535,774.684921261099,770.994711084065,769.174288260466,770.322758103471,774.470989384469,782.516902123463,779.839821891071
